Index,Annotation,M005,M002,M006,M001,M009,M004,M014,M003,M015,M016,M018,M017,M008,M010,M011,M012,M007,M013,T001,T002,Duration,Patseq,Start_Date,End_Date,Start_Time,End_Time,season,weekday,preact,nextact,Shift,Sequence,R1_Annotation,R2_Annotation,R1PreActi,R2PreActi,R1NxtActi,R2NxtActi,Resident 1,Resident 2,SequenceLabel
133,Watch_TV,,,,22,,6,5,1,1,,4,4,,,20,216,,,,,29,,14-04-2009,14-04-2009,18:01:12,18:29:56,summer,Tuesday,,,Late afternoon,"12, 1, 11",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,16
134,Watch_TV,,,,3,1,,,,,,,,,,2,3,,,,,0,,14-04-2009,14-04-2009,18:30:00,18:30:23,summer,Tuesday,,,Late afternoon,"12, 1, 11",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,16
135,Watch_TV,,,,9,3,1,,,1,,,,,2,4,7,,,,,1,,14-04-2009,14-04-2009,22:15:27,22:16:07,summer,Tuesday,,,Night,"1, 12, 11",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Cook_Breakfast,Cook_Breakfast,3,3,45
136,Cook_Breakfast,2,2,2,4,2,16,58,167,86,58,4,4,2,,,,2,,,,20,,15-04-2009,15-04-2009,07:09:59,07:29:58,summer,Wednesday,,,core night,"3, 15, 14",Cook_Breakfast,Cook_Breakfast,Watch_TV,Watch_TV,Cook_Breakfast,Cook_Breakfast,0,0,0
137,Cook_Breakfast,6,14,7,8,9,31,57,138,59,55,4,4,,,,,,,,,30,,15-04-2009,15-04-2009,07:30:05,07:59:57,summer,Wednesday,,,core night,"3, 15, 14",Cook_Breakfast,Cook_Breakfast,Cook_Breakfast,Cook_Breakfast,R1_Eat_Breakfast,Others,0,0,0
138,R1_Eat_Breakfast,,,,2,2,9,17,177,49,330,5,5,,,,,,,,,25,,15-04-2009,15-04-2009,08:00:00,08:25:20,summer,Wednesday,,, Morning,"16, 3, 15",R1_Eat_Breakfast,Others,Cook_Breakfast,Cook_Breakfast,R1_Snack,Others,4,8,4
139,R1_Snack,,,,16,9,39,55,97,64,26,3,3,,11,2,1,,,,,15,,15-04-2009,15-04-2009,08:43:26,08:58:16,summer,Wednesday,,, Morning,"3, 15, 14",R1_Snack,Others,R1_Eat_Breakfast,Others,R1_Snack,Others,2,8,0
140,R1_Snack,,,,,,5,10,77,28,98,3,3,,,,,,,,,12,,15-04-2009,15-04-2009,09:01:10,09:12:48,summer,Wednesday,,, Morning,"16, 3, 15",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,4
141,R1_Snack,,,,17,9,8,11,21,10,4,1,1,,,,,6,,,,2,,15-04-2009,15-04-2009,09:39:04,09:41:18,summer,Wednesday,,, Morning,"3, 1, 14",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,58
142,R1_Snack,,,,8,4,11,13,6,7,2,,,,,,,,,,,21,,15-04-2009,15-04-2009,12:07:59,12:28:52,summer,Wednesday,,,Noon,"14, 4, 1",R1_Snack,Others,R1_Snack,Others,Watch_TV,Watch_TV,2,8,59
143,Watch_TV,,,,,,,,,,,,,1,,,,,,,,0,,15-04-2009,15-04-2009,12:33:18,12:33:18,summer,Wednesday,,,Noon,8,Watch_TV,Watch_TV,R1_Snack,Others,R1_Snack,Others,3,3,60
144,R1_Snack,,1,1,32,7,25,23,61,43,31,3,3,22,4,16,101,,,,,25,,15-04-2009,15-04-2009,13:04:58,13:29:53,summer,Wednesday,,,Noon,"12, 3, 15",R1_Snack,Others,Watch_TV,Watch_TV,Watch_TV,Watch_TV,2,8,61
145,Watch_TV,,,,60,7,25,36,51,40,42,6,6,,,26,257,,,,,28,,15-04-2009,15-04-2009,13:30:13,13:58:21,summer,Wednesday,,,Noon,"12, 1, 3",Watch_TV,Watch_TV,R1_Snack,Others,R1_Snack,Others,3,3,48
146,R1_Snack,,,,36,6,34,52,55,14,2,2,2,,2,53,7,6,,,,8,,15-04-2009,15-04-2009,15:51:44,15:59:44,summer,Wednesday,,, Morning,"3, 11, 14",R1_Snack,Others,Watch_TV,Watch_TV,Watch_TV,Watch_TV,2,8,62
147,Watch_TV,,,,69,4,10,4,3,,,5,5,,,194,334,,,,,28,,15-04-2009,15-04-2009,16:02:08,16:29:59,summer,Wednesday,,,afternoon,"12, 11, 1",Watch_TV,Watch_TV,R1_Snack,Others,Watch_TV,Watch_TV,3,3,42
148,Watch_TV,,,,12,12,,,,,,3,3,,,10,25,2,,,,29,,15-04-2009,15-04-2009,16:30:03,16:59:22,summer,Wednesday,,,afternoon,"12, 9, 1",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,51
149,Watch_TV,,,,5,3,,,,,,,,,,3,3,2,,,,0,,15-04-2009,15-04-2009,17:00:26,17:00:50,summer,Wednesday,,,afternoon,"1, 12, 11",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,45
150,Watch_TV,1,1,1,3,2,,,,,,,,,,3,3,,,,,0,,15-04-2009,15-04-2009,21:13:11,21:13:21,summer,Wednesday,,,Evening,"1, 11, 12",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,34
151,Watch_TV,,,,10,2,1,,,,,6,6,,,23,1,,,,,27,,15-04-2009,15-04-2009,21:32:12,21:58:45,summer,Wednesday,,,Evening,"11, 1, 18",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,63
152,Watch_TV,,,,,,,,,,,5,5,,,19,,,,,,23,,15-04-2009,15-04-2009,22:03:46,22:27:08,summer,Wednesday,,,Night,"11, 18, 17",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,64
153,Watch_TV,,,,2,,,,,,,1,1,,,9,4,,,,,5,,15-04-2009,15-04-2009,22:32:44,22:37:23,summer,Wednesday,,,Night,"11, 12, 1",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Cook_Breakfast,Cook_Breakfast,3,3,65
154,Cook_Breakfast,2,2,2,18,6,32,86,263,112,51,4,4,4,6,4,,2,,,,23,,16-04-2009,16-04-2009,07:06:42,07:29:59,summer,Thursday,,,core night,"3, 15, 14",Cook_Breakfast,Cook_Breakfast,Watch_TV,Watch_TV,Cook_Breakfast,Cook_Breakfast,0,0,0
155,Cook_Breakfast,2,2,,2,2,8,39,62,32,6,2,2,,,2,,,,,,7,,16-04-2009,16-04-2009,07:30:01,07:36:34,summer,Thursday,,,core night,"3, 14, 15",Cook_Breakfast,Cook_Breakfast,Cook_Breakfast,Cook_Breakfast,R1_Eat_Breakfast,Others,0,0,1
156,R1_Eat_Breakfast,2,2,2,12,8,33,77,101,10,8,2,2,6,,6,2,4,,,,9,,16-04-2009,16-04-2009,08:04:09,08:12:40,summer,Thursday,,, Morning,"3, 14, 4",R1_Eat_Breakfast,Others,Cook_Breakfast,Cook_Breakfast,R1_Snack,Others,4,8,7
157,R1_Snack,,,,14,9,10,12,175,74,296,6,6,,,4,16,4,,,,30,,16-04-2009,16-04-2009,08:30:20,08:59:57,summer,Thursday,,, Morning,"16, 3, 15",R1_Snack,Others,R1_Eat_Breakfast,Others,R1_Snack,Others,2,8,4
158,R1_Snack,,,,19,10,33,62,199,73,98,5,5,,6,8,2,3,,,,25,,16-04-2009,16-04-2009,09:00:00,09:24:41,summer,Thursday,,, Morning,"3, 16, 15",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,25
159,R1_Snack,,,,2,2,12,13,10,16,15,1,1,,2,,,,,,,4,,16-04-2009,16-04-2009,10:25:46,10:29:57,summer,Thursday,,, late Morning,"15, 16, 14",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,66
160,R1_Snack,,,,45,17,59,73,155,59,33,6,6,4,,25,35,,,,,30,,16-04-2009,16-04-2009,10:30:02,10:59:55,summer,Thursday,,, late Morning,"3, 14, 4",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,7
161,R1_Snack,,,,14,,45,18,28,4,,2,2,,,11,27,,,,,10,,16-04-2009,16-04-2009,11:00:01,11:09:40,summer,Thursday,,, late Morning,"4, 3, 12",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,67
162,R1_Snack,,,,8,,11,4,4,4,,,,,,10,,,,,,2,,16-04-2009,16-04-2009,11:58:20,11:59:58,summer,Thursday,,, late Morning,"4, 11, 1",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,68
163,R1_Snack,,1,1,28,11,21,14,22,4,,1,1,,,14,4,,,,,14,,16-04-2009,16-04-2009,12:01:02,12:15:07,summer,Thursday,,,Noon,"1, 3, 4",R1_Snack,Others,R1_Snack,Others,Enter_Home,Enter_Home,2,8,69
164,Enter_Home,2,1,,,,,,,,,,,,,,,,,,,0,,16-04-2009,16-04-2009,18:23:16,18:23:19,summer,Thursday,,,Late afternoon,"5, 2",Enter_Home,Enter_Home,R1_Snack,Others,Watch_TV,Watch_TV,5,5,70
165,Watch_TV,,,,10,1,2,3,4,1,2,1,1,,,15,184,,,,,23,,16-04-2009,16-04-2009,19:07:01,19:29:53,summer,Thursday,,,Late afternoon,"12, 11, 1",Watch_TV,Watch_TV,Enter_Home,Enter_Home,Watch_TV,Watch_TV,3,3,42
166,Watch_TV,,,1,69,2,6,6,6,1,,5,5,,,92,191,,,,,28,,16-04-2009,16-04-2009,19:31:29,19:59:59,summer,Thursday,,,Late afternoon,"12, 11, 1",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,42
167,Watch_TV,,,,16,4,2,2,2,,,3,3,,,44,154,,,,,30,,16-04-2009,16-04-2009,20:00:00,20:29:59,summer,Thursday,,,Evening,"12, 11, 1",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,42
168,Watch_TV,,,,,,,,,,,6,6,,,37,12,,,,,28,,16-04-2009,16-04-2009,20:30:10,20:58:20,summer,Thursday,,,Evening,"11, 12, 18",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,71
169,Watch_TV,,,,17,10,,,,,,5,5,,2,87,72,,,,,27,,16-04-2009,16-04-2009,21:00:03,21:27:26,summer,Thursday,,,Evening,"11, 12, 1",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Cook_Breakfast,Cook_Breakfast,3,3,65
170,Cook_Breakfast,2,2,2,8,2,2,2,36,28,35,1,1,2,2,2,4,,,,,6,,17-04-2009,17-04-2009,07:24:13,07:29:59,summer,Friday,,,core night,"3, 16, 15",Cook_Breakfast,Cook_Breakfast,Watch_TV,Watch_TV,R1_Eat_Breakfast,Others,0,0,25
171,R1_Eat_Breakfast,8,6,8,41,30,84,190,378,179,39,7,7,,,9,,6,,,,30,,17-04-2009,17-04-2009,07:30:07,07:59:59,summer,Friday,,,core night,"3, 14, 15",R1_Eat_Breakfast,Others,Cook_Breakfast,Cook_Breakfast,R1_Eat_Breakfast,Others,4,8,1
172,R1_Eat_Breakfast,,,,14,7,17,33,105,46,226,5,5,6,,1,,,,,,25,,17-04-2009,17-04-2009,08:00:01,08:25:18,summer,Friday,,, Morning,"16, 3, 15",R1_Eat_Breakfast,Others,R1_Eat_Breakfast,Others,R1_Eat_Breakfast,Others,4,8,4
173,R1_Eat_Breakfast,,,,2,1,15,53,187,111,167,5,5,,,,,,,,,25,,17-04-2009,17-04-2009,08:33:01,08:58:23,summer,Friday,,, Morning,"3, 16, 15",R1_Eat_Breakfast,Others,R1_Eat_Breakfast,Others,R1_Snack,Others,4,8,25
174,R1_Snack,,,,,,1,2,2,,,1,1,,,,,,,,,2,,17-04-2009,17-04-2009,09:00:44,09:02:33,summer,Friday,,, Morning,"14, 3, 18",R1_Snack,Others,R1_Eat_Breakfast,Others,R1_Snack,Others,2,8,72
175,R1_Snack,,,,12,4,5,4,22,19,68,2,2,,,1,,11,,,,6,,17-04-2009,17-04-2009,09:45:13,09:51:35,summer,Friday,,, Morning,"16, 3, 15",R1_Snack,Others,R1_Snack,Others,Watch_TV,Watch_TV,2,8,4
176,Watch_TV,,,,23,87,5,3,3,3,1,2,2,,2,3,,2,,,,18,,17-04-2009,17-04-2009,11:41:44,11:59:16,summer,Friday,,, late Morning,"9, 1, 4",Watch_TV,Watch_TV,R1_Snack,Others,R1_Snack,Others,3,3,73
177,R1_Snack,,1,,28,17,38,62,85,21,10,5,5,,,26,36,,,,,23,,17-04-2009,17-04-2009,12:00:02,12:23:27,summer,Friday,,,Noon,"3, 14, 4",R1_Snack,Others,Watch_TV,Watch_TV,R1_Snack,Others,2,8,7
178,R1_Snack,,,,4,4,29,131,132,23,12,5,5,,4,3,,,,,,27,,17-04-2009,17-04-2009,13:03:23,13:29:57,summer,Friday,,,Noon,"3, 14, 4",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,7
179,R1_Snack,,,,14,,25,84,80,32,39,6,6,,,8,1,,,,,30,,17-04-2009,17-04-2009,13:30:15,13:59:54,summer,Friday,,,Noon,"14, 3, 16",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,74
180,R1_Snack,,,,39,,36,60,59,6,2,6,6,,,20,151,,,,,29,,17-04-2009,17-04-2009,14:00:02,14:28:43,summer,Friday,,, Morning,"12, 14, 3",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,75
181,R1_Snack,,,,14,6,22,119,48,2,,6,6,,,14,,,,,,29,,17-04-2009,17-04-2009,14:30:36,14:59:57,summer,Friday,,, Morning,"14, 3, 4",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,20
182,R1_Snack,,,,12,20,4,42,28,4,5,6,6,,4,22,,,,,,28,,17-04-2009,17-04-2009,15:01:25,15:29:44,summer,Friday,,, Morning,"14, 3, 11",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,76
183,R1_Snack,,,,15,1,89,57,53,22,11,4,4,,,14,,,,,,30,,17-04-2009,17-04-2009,15:30:19,15:59:55,summer,Friday,,, Morning,"4, 14, 3",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,37
184,R1_Snack,,,,,,25,82,238,127,52,6,6,,,,,,,,,30,,17-04-2009,17-04-2009,16:00:01,16:29:59,summer,Friday,,,afternoon,"3, 15, 14",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,0
185,R1_Snack,,,,13,3,28,68,221,158,68,5,5,,,6,4,,,,,30,,17-04-2009,17-04-2009,16:30:01,16:59:50,summer,Friday,,,afternoon,"3, 15, 14",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,0
186,R1_Snack,,,,11,,9,42,250,141,254,6,6,,,12,,,,,,30,,17-04-2009,17-04-2009,17:00:00,17:29:58,summer,Friday,,,afternoon,"16, 3, 15",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,4
187,R1_Snack,2,11,4,17,4,14,9,24,13,18,,,6,2,6,,2,,,,30,,17-04-2009,17-04-2009,17:30:02,17:59:37,summer,Friday,,,afternoon,"3, 16, 1",R1_Snack,Others,R1_Snack,Others,Watch_TV,Watch_TV,2,8,77
188,Watch_TV,,,,13,3,,,,,,5,5,4,7,60,4,,,,,23,,17-04-2009,17-04-2009,18:00:15,18:23:44,summer,Friday,,,Late afternoon,"11, 1, 10",Watch_TV,Watch_TV,R1_Snack,Others,Watch_TV,Watch_TV,3,3,78
189,Watch_TV,,,,27,6,1,,1,,,1,1,,1,15,22,6,,,,4,,17-04-2009,17-04-2009,21:16:14,21:20:17,summer,Friday,,,Evening,"1, 12, 11",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Cook_Breakfast,Cook_Breakfast,3,3,45
190,Cook_Breakfast,2,2,2,10,6,23,23,41,19,,1,1,8,,8,10,,,,,5,,20-04-2009,20-04-2009,06:55:15,06:59:58,summer,Monday,,,core night,"3, 4, 14",Cook_Breakfast,Cook_Breakfast,Watch_TV,Watch_TV,Cook_Breakfast,Cook_Breakfast,0,0,79
191,Cook_Breakfast,2,2,2,6,4,47,109,248,153,34,5,5,2,2,2,,,,,,29,,20-04-2009,20-04-2009,07:00:01,07:28:40,summer,Monday,,,core night,"3, 15, 14",Cook_Breakfast,Cook_Breakfast,Cook_Breakfast,Cook_Breakfast,R1_Eat_Breakfast,Others,0,0,0
192,R1_Eat_Breakfast,2,2,2,28,12,19,21,19,2,4,3,3,14,4,12,,,,,,16,,20-04-2009,20-04-2009,07:32:32,07:48:23,summer,Monday,,,core night,"1, 14, 4",R1_Eat_Breakfast,Others,Cook_Breakfast,Cook_Breakfast,R1_Snack,Others,4,8,80
193,R1_Snack,,1,,8,6,10,26,85,42,78,2,2,2,2,2,4,,,,,10,,20-04-2009,20-04-2009,10:49:24,10:59:50,summer,Monday,,, late Morning,"3, 16, 15",R1_Snack,Others,R1_Eat_Breakfast,Others,R1_Snack,Others,2,8,25
194,R1_Snack,,,,,,5,19,100,51,148,5,5,,,,,,,,,21,,20-04-2009,20-04-2009,11:00:05,11:20:36,summer,Monday,,, late Morning,"16, 3, 15",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,4
195,R1_Snack,,,,,,9,9,6,2,,,,,,,,,,,,2,,20-04-2009,20-04-2009,11:48:07,11:49:38,summer,Monday,,, late Morning,"4, 14, 3",R1_Snack,Others,R1_Snack,Others,Watch_TV,Watch_TV,2,8,37
196,Watch_TV,,,,17,1,15,13,28,20,22,2,2,,,11,86,,,,,10,,20-04-2009,20-04-2009,13:19:42,13:29:17,summer,Monday,,,Noon,"12, 3, 16",Watch_TV,Watch_TV,R1_Snack,Others,Watch_TV,Watch_TV,3,3,81
197,Watch_TV,,,,103,,41,46,70,30,18,6,6,,,20,377,,,,,30,,20-04-2009,20-04-2009,13:30:07,13:59:59,summer,Monday,,,Noon,"12, 1, 3",Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,Watch_TV,3,3,48
198,Watch_TV,,,,88,4,21,49,79,43,24,5,5,,,16,297,4,,,,26,,20-04-2009,20-04-2009,14:00:02,14:26:09,summer,Monday,,, Morning,"12, 1, 3",Watch_TV,Watch_TV,Watch_TV,Watch_TV,R1_Snack,Others,3,3,48
199,R1_Snack,,,,26,6,4,4,8,12,,2,2,,,8,48,20,,,,6,,20-04-2009,20-04-2009,14:46:11,14:52:30,summer,Monday,,, Morning,"12, 1, 7",R1_Snack,Others,Watch_TV,Watch_TV,no acti,no acti,2,,82
